page_identity,source_path,destination,link_type,canonical_known,legacy_alias,status
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/2283588/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/2283588/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/27055049/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://ipip.ori.org/Finding_Scales_to_Measure_Particular_Constructs.htm,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/facets,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://onlinelibrary.wiley.com/doi/10.1111/jopy.12683,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/16435954/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/16435954/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/16435954/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/2283588/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/2283588/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/27055049/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://ipip.ori.org/Finding_Scales_to_Measure_Particular_Constructs.htm,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://onlinelibrary.wiley.com/doi/10.1111/jopy.12683,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,https://pubmed.ncbi.nlm.nih.gov/16435954/,registered_external,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/openness,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/conscientiousness,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/extraversion,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/agreeableness,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/neuroticism,internal_canonical,true,false,PASS
big-five-hub,pages/hub/big-five-hub.en-US.md,/en/personality/big-five/facets,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,https://pubmed.ncbi.nlm.nih.gov/2283588/,registered_external,true,false,PASS
openness,pages/domains/openness.en-US.md,https://ipip.ori.org/Finding_Scales_to_Measure_Particular_Constructs.htm,registered_external,true,false,PASS
openness,pages/domains/openness.en-US.md,https://pubmed.ncbi.nlm.nih.gov/27055049/,registered_external,true,false,PASS
openness,pages/domains/openness.en-US.md,https://www.pnas.org/doi/10.1073/pnas.2212794120,registered_external,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/imagination,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/aesthetics,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/feelings,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/actions,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/ideas,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets/values,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/openness-high,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/openness-mid,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/openness-low,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five,internal_canonical,true,false,PASS
openness,pages/domains/openness.en-US.md,/en/personality/big-five/facets,internal_canonical,true,false,PASS
