coupling_group,asset_role,expected_count,actual_count,module_key,section_key,status
n_high_x_o_mid_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
n_high_x_o_mid_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
n_high_x_o_mid_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
n_high_x_o_mid_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
n_high_x_o_mid_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
n_high_x_e_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
n_high_x_e_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
n_high_x_e_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
n_high_x_e_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
n_high_x_e_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
e_low_x_c_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
e_low_x_c_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
e_low_x_c_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
e_low_x_c_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
e_low_x_c_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
c_low_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
c_low_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
c_low_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
c_low_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
c_low_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
a_mid_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
a_mid_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
a_mid_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
a_mid_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
a_mid_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
o_high_x_c_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
o_high_x_c_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
o_high_x_c_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
o_high_x_c_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
o_high_x_c_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
c_high_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
c_high_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
c_high_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
c_high_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
c_high_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
o_low_x_c_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
o_low_x_c_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
o_low_x_c_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
o_low_x_c_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
o_low_x_c_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
e_high_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
e_high_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
e_high_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
e_high_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
e_high_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
e_high_x_a_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
e_high_x_a_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
e_high_x_a_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
e_high_x_a_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
e_high_x_a_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
a_low_x_n_high,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
a_low_x_n_high,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
a_low_x_n_high,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
a_low_x_n_high,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
a_low_x_n_high,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
o_high_x_a_low,coupling_core_explanation,1,1,module_04_coupling,core_portrait,PASS
o_high_x_a_low,coupling_benefit_cost,1,1,module_04_coupling,core_portrait,PASS
o_high_x_a_low,coupling_common_misread,1,1,module_04_coupling,core_portrait,PASS
o_high_x_a_low,coupling_action_strategy,1,1,module_04_coupling,core_portrait,PASS
o_high_x_a_low,coupling_scenario_bridge,1,1,module_04_coupling,core_portrait,PASS
